hs17,group,subgroup,ship type,hs92
10121,1,1,live_stock,10111
10129,1,1,live_stock,10119
10130,1,1,live_stock,10111
10190,1,1,live_stock,10119
10221,1,2,live_stock,10210
10229,1,2,live_stock,10290
10231,1,2,live_stock,10210
10239,1,2,live_stock,10290
10290,1,2,live_stock,10290
10310,1,3,live_stock,10310
10391,1,3,live_stock,10391
10392,1,3,live_stock,10392
10410,1,4,live_stock,10410
10420,1,4,live_stock,10420
10511,1,5,live_stock,10511
10512,1,5,live_stock,10519
10513,1,5,live_stock,10519
10514,1,5,live_stock,10519
10515,1,5,live_stock,10519
10594,1,5,live_stock,10591
10599,1,5,live_stock,10599
10611,1,6,live_stock,10600
10612,1,6,live_stock,10600
10613,1,6,live_stock,10600
10614,1,6,live_stock,10600
10619,1,6,live_stock,10600
10620,1,6,live_stock,10600
10631,1,6,live_stock,10600
10632,1,6,live_stock,10600
10633,1,6,live_stock,10600
10639,1,6,live_stock,10600
10641,1,6,live_stock,10600
10649,1,6,live_stock,10600
10690,1,6,live_stock,10600
20110,2,1,live_stock,20110
20120,2,1,live_stock,20120
20130,2,1,live_stock,20130
20210,2,2,live_stock,20210
20220,2,2,live_stock,20220
20230,2,2,live_stock,20230
20311,2,3,live_stock,20311
20312,2,3,live_stock,20312
20319,2,3,live_stock,20319
20321,2,3,live_stock,20321
20322,2,3,live_stock,20322
20329,2,3,live_stock,20329
20410,2,4,live_stock,20410
20421,2,4,live_stock,20421
20422,2,4,live_stock,20422
20423,2,4,live_stock,20423
20430,2,4,live_stock,20430
20441,2,4,live_stock,20441
20442,2,4,live_stock,20442
20443,2,4,live_stock,20443
20450,2,4,live_stock,20450
20500,2,5,live_stock,20500
20610,2,6,live_stock,20610
20621,2,6,live_stock,20621
20622,2,6,live_stock,20622
20629,2,6,live_stock,20629
20630,2,6,live_stock,20630
20641,2,6,live_stock,20641
20649,2,6,live_stock,20649
20680,2,6,live_stock,20680
20690,2,6,live_stock,20690
20711,2,7,live_stock,20710
20712,2,7,live_stock,20721
20713,2,7,live_stock,20739
20714,2,7,live_stock,20741
20724,2,7,live_stock,20710
20725,2,7,live_stock,20722
20726,2,7,live_stock,20739
20727,2,7,live_stock,20742
20741,2,7,live_stock,20710
20742,2,7,live_stock,20723
20743,2,7,live_stock,20731
20744,2,7,live_stock,20739
20745,2,7,live_stock,20743
20751,2,7,live_stock,20710
20752,2,7,live_stock,20723
20753,2,7,live_stock,20731
20754,2,7,live_stock,20739
20755,2,7,live_stock,20743
20760,2,7,live_stock,20739
20810,2,8,live_stock,20810
20830,2,8,live_stock,20890
20840,2,8,live_stock,20890
20850,2,8,live_stock,20890
20860,2,8,live_stock,20890
20890,2,8,live_stock,20890
20910,2,9,live_stock,20900
20990,2,9,live_stock,20900
21011,2,10,live_stock,21011
21012,2,10,live_stock,21012
21019,2,10,live_stock,21019
21020,2,10,live_stock,21020
21091,2,10,live_stock,21090
21092,2,10,live_stock,21090
21093,2,10,live_stock,21090
21099,2,10,live_stock,21090
30111,3,1,live_stock,30110
30119,3,1,live_stock,30110
30191,3,1,live_stock,30191
30192,3,1,live_stock,30192
30193,3,1,live_stock,30193
30194,3,1,live_stock,30199
30195,3,1,live_stock,30199
30199,3,1,live_stock,30199
30211,3,2,live_stock,30211
30213,3,2,live_stock,30212
30214,3,2,live_stock,30212
30219,3,2,live_stock,30219
30221,3,2,live_stock,30221
30222,3,2,live_stock,30222
30223,3,2,live_stock,30223
30224,3,2,live_stock,30229
30229,3,2,live_stock,30229
30231,3,2,live_stock,30231
30232,3,2,live_stock,30232
30233,3,2,live_stock,30233
30234,3,2,live_stock,30239
30235,3,2,live_stock,30239
30236,3,2,live_stock,30239
30239,3,2,live_stock,30239
30241,3,2,live_stock,30240
30242,3,2,live_stock,30269
30243,3,2,live_stock,30261
30244,3,2,live_stock,30264
30245,3,2,live_stock,30269
30246,3,2,live_stock,30269
30247,3,2,live_stock,30269
30249,3,2,live_stock,30269
30251,3,2,live_stock,30250
30252,3,2,live_stock,30262
30253,3,2,live_stock,30263
30254,3,2,live_stock,30269
30255,3,2,live_stock,30269
30256,3,2,live_stock,30269
30259,3,2,live_stock,30269
30271,3,2,live_stock,30269
30272,3,2,live_stock,30269
30273,3,2,live_stock,30269
30274,3,2,live_stock,30266
30279,3,2,live_stock,30269
30281,3,2,live_stock,30265
30282,3,2,live_stock,30269
30283,3,2,live_stock,30269
